-168.85042158516023 1.6381154864006792E-5 -1.9835296004325502 -1.5195505340714395E-4 4.3557206044682215E-5
-168.1908496258432 1.7552591236842407E-5 -2.011546046302086 -1.5596972922301994E-4 4.9476292614065626E-5
-167.53127766652617 1.8496134674230447E-5 -2.0430380939267074 -1.5842838944831085E-4 5.580477057579404E-5
-166.87170570720914 1.9200550012929846E-5 -2.0782828741351915 -1.5931327000040684E-4 6.251010813232994E-5
-166.2121337478921 1.9668918964105796E-5 -2.1175616942968407 -1.5863584697648075E-4 6.955100760652892E-5
-165.55256178857508 1.9917804386731898E-5 -2.161139176691829 -1.564358017438097E-4 7.687756913710271E-5
-164.89298982925803 1.9975431970276787E-5 -2.209235938880828 -1.5277929596285494E-4 8.443169832584082E-5
-164.233417869941 1.9879064823085285E-5 -2.2619941176542158 -1.477566192261021E-4 9.214775867027912E-5
-163.573845910624 1.9671809479741872E-5 -2.3194366411415017 -1.414792892944839E-4 9.995346144604398E-5
-162.91427395130694 1.9399131566227783E-5 -2.3814236760849785 -1.3407669949265378E-4 1.0777097753729615E-4
-162.25470199198992 1.9105372881516585E-5 -2.4476129216135156 -1.2569241926142669E-4 1.1551824784594436E-4
-161.59513003267287 1.8830548706158117E-5 -2.5174335052818035 -1.164802618419383E-4 1.231104616293675E-4
-160.93555807335585 1.8607667054518897E-5 -2.5900845106561547 -1.0660023738140235E-4 1.3046166569544068E-4
-160.27598611403883 1.8460754916245472E-5 -2.664566735737777 -9.62145103232464E-5 1.3748646206865507E-4
-159.61641415472178 1.8403706540991654E-5 -2.739749299139798 -8.548347681855829E-5 1.4410174774142815E-4
-158.95684219540476 1.8439992740631915E-5 -2.814462752894978 -7.456207123202845E-5 1.5022844760747645E-4
-158.2972702360877 1.8563195440214114E-5 -2.887601495973985 -6.359640088984193E-5 1.5579319075235805E-4
-157.6376982767707 1.8758265157328893E-5 -2.958214973577415 -5.27207954053058E-5 1.607298810105675E-4
-156.97812631745364 1.9003346349451825E-5 -3.0255711993667616 -4.205534168688274E-5 1.6498111508835348E-4
-156.31855435813662 1.927198053013606E-5 -3.089185345628934 -3.170395861838764E-5 1.684994055381631E-4
-155.6589823988196 1.9535481595454215E-5 -3.148815939000776 -2.175304699415605E-5 1.712481713376877E-4
-154.99941043950255 1.9765281736300574E-5 -3.204437710460291 -1.2270731213432452E-5 1.7320246560303387E-4
-154.33983848018553 1.9935067565408825E-5 -3.25620209924993 -3.306690122980869E-6 1.743494178323133E-4
-153.68026652086849 2.0022561059914554E-5 -3.304394837194307 5.10744413292226E-6 1.7468837677269027E-4
-153.02069456155147 2.001084398679779E-5 -3.349396861342437 1.2957157746921743E-5 1.7423074923849033E-4
-152.36112260223442 1.9889172564508014E-5 -3.3916516037915505 2.0243651490378927E-5 1.7299953966674027E-4
-151.7015506429174 1.9653276268588626E-5 -3.4316392950513093 2.698202912097404E-5 1.710286045546902E-4
-151.04197868360038 1.9305176597438156E-5 -3.469857451393857 3.3199156363633127E-5 1.6836164485937435E-4
-150.38240672428333 1.8852594991584178E-5 -3.5068060216984085 3.8931276835589124E-5 1.6505096764071842E-4
-149.7228347649663 1.8308041933444586E-5 -3.54297548478974 4.4221476169922966E-5 1.611560554119106E-4
-149.06326280564926 1.7687690876713662E-5 -3.5788362984225315 4.911708730651477E-5 1.5674198757159905E-4
-148.40369084633224 1.7010141654181147E-5 -3.614828373702296 5.366712848640876E-5 1.5187776272436112E-4
-147.7441188870152 1.6295170010013008E-5 -3.651349627423458 5.79198610302072E-5 1.466345734923155E-4
-147.08454692769817 1.5562545226944327E-5 -3.6887431434531326 6.192054672976887E-5 1.410840864830261E-4
-146.42497496838115 1.483097913955907E-5 -3.7272830659142473 6.570947494926361E-5 1.3529677936868032E-4
-145.7654030090641 1.4117249784203062E-5 -3.7671600489907124 6.932031771074836E-5 1.293403845741334E-4
-145.10583104974708 1.3435523830975656E-5 -3.808467846083203 7.277885758380169E-5 1.2327848495327239E-4
-144.44625909043003 1.2796885492727055E-5 -3.851193298579409 7.610211861099662E-5 1.1716930120031209E-4
-143.786687131113 1.2209066823801952E-5 -3.8952123607035145 7.92979153074046E-5 1.1106470379467306E-4
-143.127115171796 1.1676365502014501E-5 -3.9402946143586517 8.236481951076807E-5 1.050094742615743E-4
-142.46754321247894 1.1199730994010298E-5 -3.986117803136927 8.529253005524416E-5 9.904083172985843E-5
-141.80797125316192 1.0776997636061611E-5 -4.032292280323832 8.80626163953913E-5 9.31882314960403E-5
-141.14839929384488 1.0403242569740116E-5 -4.078393261788586 9.06495948715357E-5 8.747343288780429E-5
-140.48882733452785 1.0071246582953196E-5 -4.123996994312611 9.302228567861869E-5 8.191082449458944E-5
-139.8292553752108 9.772035829914416E-6 -4.168716013333341 9.51453900997524E-5 7.650798612299976E-5
-139.1696834158938 9.495481578575537E-6 -4.212228921922636 9.698122143524349E-5 7.126645894758633E-5
-138.51011145657677 9.230933410443772E-6 -4.25430147269095 9.849151945002564E-5 6.618268853879957E-5
-137.85053949725972 8.967858935482053E-6 -4.294797676354195 9.963927713906034E-5 6.124909999590044E-5
-137.1909675379427 8.69646067993231E-6 -4.333681553151732 1.0039051014018887E-4 5.645526048005559E-5
-136.53139557862565 8.40823915794306E-6 -4.371011488004489 1.0071590308840652E-4 5.178908216319716E-5
-135.87182361930863 8.096471087435569E-6 -4.406929747494122 1.0059227340176279E-4 4.7238018052573736E-5
-135.21225165999158 7.756573961736688E-6 -4.441649645807365 1.0000380114240049E-4 4.279020432771974E-5
