#ins    temp        spec
2.84    24.5e-15    46.3e-9
2.5     25.6e-15    47.1e-9 
2.04    28.9e-15    59.1e-9
1.75    35.7e-15    48.4e-9
1.3     45.6e-15    49.6e-9
0.7     53.3e-15    44.1e-9
0.0     56.6e-15    40.7e-9 

